,model_name,target,rmse_test,rmse_train,rmse_cv_train,r2_test,r2_train,r2_cv_train
0,lin,Rm,168.50873469216847,151.87501110370314,167.681087906361,0.4838191394760051,0.5483936165937391,0.44146137885452685
1,dt,Rm,126.28340837485038,0.0,141.65928321777272,0.7100990409672795,1.0,0.6044441374099461
2,etr,Rm,133.97019473346703,1.0072787050317253,125.125371905651,0.6737327822726702,0.9999801350840531,0.6846223377736212
3,rf,Rm,97.7807279125871,42.454533474556136,110.3607914284914,0.8261944684856807,0.964711307098353,0.7572050122790881
4,efr,Rm,86.6294050381071,0.46675604045229213,102.8485973720954,0.8635769591614986,0.9999957345257883,0.7911851164440866
5,svr,Rm,234.33185170820556,225.70516084565227,225.3423379512442,0.001795068927933241,0.002597607461757412,0.0011395890260712527
6,knn,Rm,180.82977452246672,134.04861921812443,176.46477080578248,0.4055751679616576,0.6481868111893776,0.38703386224721825
7,ab,Rm,132.5652710308827,113.4757971649386,140.07858749545485,0.680539924223033,0.7478877715048542,0.615005153677461
8,gb,Rm,93.51602680030994,55.27662949997156,103.03931579616912,0.841024882118846,0.9401766767861341,0.7883840784837034
9,xgb,Rm,102.53363747191676,3.468723134024205,106.53715063987492,0.8088871929384023,0.9997644263558678,0.7743768210289085
10,xgbf,Rm,113.3010819272261,69.1412187850584,117.61294693335745,0.7666406662280324,0.9064030949623435,0.7280637721067011
11,lin,Rp02,162.0145071804881,145.07868349423492,161.73993904642893,0.38399119991283504,0.5958841145184868,0.49420784408413587
12,dt,Rp02,130.90311711883933,0.0,153.3841450850096,0.5978583229234766,1.0,0.5389438976918445
13,etr,Rp02,123.90229085279832,0.0,164.5037208492316,0.6397219689533078,1.0,0.46451295834018447
14,rf,Rp02,113.65548698070599,42.039438129904006,114.18564360400174,0.6968483596904858,0.9660677610618168,0.7463335433112854
15,efr,Rp02,107.93404180025544,0.015152439161929094,110.70441692679658,0.7266015872117162,0.9999999955917744,0.7599252726660426
16,svr,Rp02,206.77963883281183,232.7680576698715,231.97155432653904,-0.0034474949165899105,-0.04026856696373815,-0.039103784454831425
17,knn,Rp02,157.653452501727,122.87717978943235,160.56778566070244,0.4167079193120711,0.7101046956172445,0.498475937359493
18,ab,Rp02,136.63324043671957,104.0106848813027,134.80645777022022,0.5618812450118578,0.7922913309708914,0.6509327684551047
19,gb,Rp02,105.16203751345702,51.57918948053857,112.70950901709247,0.7404643076488007,0.9489203706427395,0.7541728322403297
20,xgb,Rp02,96.2420829255156,1.1633898822978113,117.1454046264035,0.782625229960016,0.9999740134111215,0.7295284220096857
21,xgbf,Rp02,127.56828722002315,62.528763750446586,120.68501972960898,0.6180868982596779,0.9249313863651798,0.7164613042988637
22,lin,A5,2.550926477661022,2.5518764599516204,2.788699144389926,0.3930755645249566,0.4789366922436238,0.3754490446669957
23,dt,A5,1.9343262536489432,0.0,2.7377920810614285,0.6510218850594427,1.0,0.38417550356073227
24,etr,A5,1.9213075155852704,0.0,2.7280886764749765,0.6557035831540867,1.0,0.3903753920062265
25,rf,A5,1.7496893690381152,0.7710459515158344,2.119163171643483,0.7144641481601044,0.9524301564610022,0.6332791990644511
26,efr,A5,1.7085587976013907,0.0024999999999999467,2.0192313250220653,0.7277307482665998,0.9999994999064906,0.6672085894489892
27,svr,A5,2.9659398086309983,3.2626273448271657,3.3350252052264757,0.17952867744658174,0.14826176343342157,0.10272903205823358
28,knn,A5,2.590229580129487,2.052119051296597,2.673761646905212,0.37422925323089073,0.6630415861729081,0.42527699387441553
29,ab,A5,2.1663987533448266,1.8447810766198314,2.3238397883232658,0.5622607051799773,0.7276917051023211,0.5648681005082838
30,gb,A5,1.9971911560444615,1.198740463578749,2.005277414466732,0.6279699605576814,0.8850202047169287,0.6734731561269792
31,xgb,A5,1.498449428638485,0.06861482657004492,2.0303849226008674,0.7905777020509931,0.9996232900073074,0.6627436358453209
32,xgbf,A5,2.0031640453970945,1.4594358684719821,2.2222580534732814,0.6257414137287636,0.8295718883659762,0.5991253150778582
33,lin,HB,62.20055365603924,39.929530580605174,44.24168156474756,0.0809015627637617,0.7216912290374748,0.6555124910254104
34,dt,HB,37.979901306162006,0.0,37.296694253621794,0.6573259712481375,1.0,0.7532272519134969
35,etr,HB,51.38470966247425,0.0,38.38332361903956,0.3727490311584408,1.0,0.7396955624861856
36,rf,HB,28.014156592348883,11.411255514845912,31.84061366787813,0.8135644919076592,0.9772696907597396,0.8174963295339487
37,efr,HB,30.847521469944855,0.020578672974136965,32.08701650256892,0.7739450209605243,0.9999999260780839,0.8173472831448121
38,svr,HB,69.99725552104188,78.43148138199363,77.11732705403251,-0.16395328818858146,-0.07378991315627603,-0.07287295577908837
39,knn,HB,39.884626353456525,30.99252008492654,37.70677524280675,0.6220933079831641,0.8323311958216635,0.7512888476839052
40,ab,HB,34.57746781637252,30.115295143781005,37.00666255832989,0.7159728223072858,0.8416884022834374,0.7603521853162678
41,gb,HB,27.56516687498691,15.216014963712356,31.1459061607149,0.8194926964242283,0.9595852089606838,0.8287893944140293
42,xgb,HB,29.204557769099345,0.7129424853075472,30.96402629298361,0.7973835063665686,0.9999112747001423,0.8296797218478815
43,xgbf,HB,35.08272503376219,17.535633761422293,31.60322840560922,0.7076115816208117,0.9463238426593509,0.8226451026133155
44,lin,K,34.03446440788571,32.06054178475704,33.88031034587966,0.3176067822305756,0.32623197730031817,0.2383253679821784
45,dt,K,22.436640207694285,0.0,28.242984117966934,0.7034400444475502,1.0,0.46987077042511394
46,etr,K,25.447807745415297,0.0,27.823204052921245,0.6184973045729296,1.0,0.4796872139107865
47,rf,K,19.566386230263678,7.597117021503589,20.73784535256518,0.7744628414661497,0.9621673891519683,0.7121510856346895
48,efr,K,19.001050110693445,0.03223865191490457,19.512682426042456,0.7873075533012202,0.9999993187250393,0.7394698800143176
49,svr,K,41.51224057255988,38.98365305467926,38.703486590213465,-0.015194391044856648,0.003829337220680573,-0.0031744028259406143
50,knn,K,27.28954943528662,24.61591839931789,32.697769163850445,0.5612778199510784,0.6028077479408613,0.2832333640120289
51,ab,K,27.768659351936176,22.75733924596342,27.1224955268014,0.5457377095821182,0.6605219895090046,0.5144408125664358
