,model_name,target,rmse_test,rmse_train,rmse_cv_train,r2_test,r2_train,r2_cv_train
0,Best_hb,Rm,89.76974090361506,34.527605395021055,106.14517592422638,0.853506955242665,0.9766589523158742,0.7757370613271717
1,Best_rm,Rm,99.63911188740272,56.48345096183245,97.40498913369832,0.8195251215593371,0.9375359883880799,0.8079605095337727
2,Best_rp02,Rm,100.42354148505538,27.407056921163907,116.60604891410333,0.8166722839024086,0.9852934016995056,0.7214293266949168
3,Best_a5,Rm,95.9170730676609,30.97852359121558,103.65897890450728,0.8327566348304096,0.9812107753822498,0.7809604460642054
4,Best_k,Rm,95.01803104965406,48.905881356186526,108.11744273413683,0.8358771251103652,0.9531715690399989,0.7743024822696177
5,Best_hb,Rp02,105.24735930474904,31.528026336739327,113.33784580858244,0.7400429952848213,0.9809149949177278,0.7705514642430638
6,Best_rm,Rp02,122.4069393363289,52.5108093215591,114.21839541643075,0.6483657367292921,0.9470585131216709,0.7336476605046889
7,Best_rp02,Rp02,108.96845503413299,23.92799179796819,116.5857365182244,0.7213361101197759,0.9890071269407215,0.7784541406324477
8,Best_a5,Rp02,97.454329524266,26.774317715452778,106.09778288072489,0.7771147216775174,0.9862362892913995,0.7733608027714143
9,Best_k,Rp02,114.43949271974084,43.48280249462801,109.05109022835327,0.6926516002435497,0.9636977315167932,0.7676239404498278
10,Best_hb,A5,1.9256180939687866,0.6455803896798783,2.0081149961887426,0.6541569472968984,0.9666518412707393,0.6616748168939046
11,Best_rm,A5,1.863120763703986,1.1874490039912144,1.9876974397158875,0.6762418188467412,0.8871760927884179,0.6782107753097554
12,Best_rp02,A5,2.0162901838167198,0.4895719151290869,2.236429497716033,0.6208205333597324,0.9808219612103862,0.6101319859469512
13,Best_a5,A5,1.6726282405771844,0.6960311401938113,1.97026251948128,0.739061843385298,0.9612360039103571,0.6926996919141172
14,Best_k,A5,1.9296002300600503,0.918750823588406,1.9824815250344066,0.6527250765536428,0.9324591248815867,0.6825181830318012
15,Best_hb,HB,32.89406663498566,10.495945380125294,31.430881582833308,0.7429552947083089,0.9807698970927085,0.8284458351808951
16,Best_rm,HB,25.64921705442198,17.9978801778599,34.01029456598161,0.8437133967314177,0.9434566941103731,0.8166957246910385
17,Best_rp02,HB,28.438227039708785,7.114763572372125,32.42996636840921,0.8078773532171302,0.991163924258812,0.7994448015160026
18,Best_a5,HB,25.709249968646233,9.968376705659681,30.344943125773842,0.8429809517541892,0.9826544782616375,0.8296747240591948
19,Best_k,HB,27.710195848169324,13.988148653766821,31.306528503514652,0.8175882888499276,0.9658446325267777,0.8263894234019957
20,Best_hb,K,18.876312258262256,7.52448208067438,21.578410569851798,0.7900909483608869,0.9628873551529401,0.6914957791671315
21,Best_rm,K,18.898601584621417,14.222448319644464,21.76344635258199,0.7895949305329779,0.8674079730569847,0.6805081964273061
22,Best_rp02,K,20.056226721652774,6.902498473658493,22.5269829641645,0.7630289344843938,0.9687693286871727,0.6789181307445586
23,Best_a5,K,17.942798825398082,8.170970822724751,20.56966327093977,0.8103393492862382,0.9562361016655291,0.7000343888103259
24,Best_k,K,20.789190078554547,10.39037522731717,20.684004200217164,0.7453920262147917,0.9292329415062761,0.7184962847066804
