,model_name,target,rmse_test,rmse_train,rmse_cv_train,r2_test,r2_train,r2_cv_train
0,bs_hb,Rm,101.60397741525694,34.28725060019997,108.88944455521762,0.8123370751719478,0.9769827862994546,0.7653601276929939
1,bs_rm,Rm,101.85494800885462,59.32457556351312,100.66644917224087,0.8114088429363816,0.9310940529451633,0.7849668954385687
2,bs_rp02,Rm,90.36502304006626,27.632800913817523,120.05172104167659,0.8515576607887159,0.9850501359695285,0.7506199795170925
3,bs_a5,Rm,96.50509722483284,31.665866420218162,103.25661703488554,0.8306997624858793,0.9803677454060529,0.7796634090954102
4,bs_k,Rm,96.13338724629598,49.13747010251019,107.19505473833082,0.832001442794261,0.9527270165707469,0.7736970624087849
5,gs_a5,Rm,98.86590021309287,38.380026722466354,101.06395306270761,0.8223152676391207,0.9711598196307363,0.8013343659222101
6,gs_k,Rm,88.19933074766804,0.46344016411429567,102.96370756147505,0.8585875515990311,0.9999957949151327,0.7879244716754507
7,bs_hb,Rp02,109.26461614925668,31.39613871788829,111.85380189731431,0.7198193122524243,0.9810743332251837,0.743337877675179
8,bs_rm,Rp02,111.50317504766343,50.676164403157166,112.08055293850376,0.7082213057939939,0.9506932720213589,0.7528882504896379
9,bs_rp02,Rp02,100.52536554636889,24.32330108162053,116.80859126252196,0.7628460130426722,0.9886409047308437,0.7908132410898261
10,bs_a5,Rp02,100.51195053297803,28.084384025004447,107.00753696621527,0.7629093047624179,0.9848564213827705,0.7804919224406657
11,bs_k,Rp02,113.40875387305546,43.66877223774175,109.57044119060247,0.698163146328844,0.963386548246522,0.7696277048571943
12,gs_a5,Rp02,109.7067670468428,34.065575032496334,115.713306095923,0.7175471623454266,0.9777192318609093,0.7400462290912404
13,gs_k,Rp02,106.11261345148587,0.022728658742899022,110.89020503944626,0.7357511353347546,0.9999999900814925,0.7577972057501838
14,bs_hb,A5,1.933370422180594,0.6261653681416173,2.024206994901707,0.6513666891992533,0.9686274883871286,0.6367735046886518
15,bs_rm,A5,1.8811641612660783,1.1397365673213924,1.9945659897687917,0.6699405799168032,0.896060609584525,0.6763892762342272
16,bs_rp02,A5,1.8481451921997745,0.4828573880408571,2.175608447595193,0.681425570927022,0.9813444111318703,0.6164553046106364
17,bs_a5,A5,1.6997044452434564,0.6960553746531839,1.9565223340918714,0.7305454259599613,0.9612333044884819,0.6921006598319973
18,bs_k,A5,1.9395573117948626,0.9095537647905048,1.961385779771334,0.6491318282823262,0.9338045784436173,0.6792404806681038
19,gs_a5,A5,1.7134453946189563,0.802519618432369,1.9033788785434858,0.7261711031037814,0.948467345189821,0.707585800302416
20,gs_k,A5,1.684174429446689,0.0017677669529664183,2.024974981487309,0.7354468857751553,0.9999997499532453,0.6628752566443734
21,bs_hb,HB,29.719556345355336,10.410231564904961,30.843947153306793,0.7901745463441142,0.9810826950675372,0.8310138271991073
22,bs_rm,HB,25.638628131067204,17.632395068986707,32.887743808553616,0.8438424116060013,0.945729840204858,0.818274710792446
23,bs_rp02,HB,35.8090013784272,7.112301763571991,32.08211817868802,0.6953803277992496,0.9911700380152063,0.8177397275295919
24,bs_a5,HB,24.918695550482806,9.729191277635561,30.75196258715864,0.8524890924831056,0.9834768833899264,0.8327494005420405
25,bs_k,HB,27.34049498025312,14.288207723813054,31.82459773600491,0.8224231807698396,0.9643635860414879,0.8263719511771217
26,gs_a5,HB,29.437434981320973,13.832708717244076,31.6624340254509,0.794139294262949,0.9665995015504227,0.8183082480743227
27,gs_k,HB,30.785017291813517,0.015270834311419245,32.01236250174688,0.7748601716965424,0.9999999592934764,0.8219947203948001
28,bs_hb,K,18.244447167826817,8.119225485971638,22.09970326070971,0.8039087220377377,0.956788644837632,0.6849430714642475
29,bs_rm,K,19.043807362589273,14.253111746671443,21.78599622612068,0.786349250833789,0.8668356231100419,0.6764588184877591
30,bs_rp02,K,19.607090083065074,6.981065206681208,22.54834395243399,0.7735234978399862,0.9680543249162273,0.6699956512921954
31,bs_a5,K,18.29265008954632,8.398132321362228,20.618704525692994,0.8028711834335496,0.9537689127357496,0.7152277436808108
32,bs_k,K,21.00471318703615,10.4181256682455,20.82676373778258,0.7400855815966702,0.9288544297589457,0.7139073045394468
33,gs_a5,K,17.970274437529973,10.352403009559977,20.584353351765095,0.8097580539897025,0.9297492408441534,0.7159729116033684
34,gs_k,K,18.8752437805048,0.02749592508743062,19.61006467085639,0.7901147111384905,0.9999995044296064,0.7310470010634896
