,target,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,learning_rate,RMSE,R2
51,Rp02,156,,7,10,5,0.3411842489387896,114.08073336705938,0.7299035451629097
52,Rp02,202,15.0,8,13,,0.6704370596776021,122.71827053790295,0.7024955789837215
53,Rp02,79,15.0,11,16,1,0.47842687578208265,133.15047107008596,0.7030703752473917
54,Rp02,363,5.0,12,15,log2,0.3367842893491937,117.23927971407548,0.7676301333218627
55,Rp02,101,10.0,6,4,,0.11327565835674139,115.53696367191051,0.7400297784996372
56,Rp02,119,4.0,18,10,3,0.6326205223900493,123.12364098304299,0.6863374139830898
57,Rp02,59,20.0,14,4,,0.5279734374407349,124.21264630694722,0.6959505999375561
58,Rp02,308,3.0,3,13,10,0.4604253187337887,114.20167874850695,0.7334606815859341
59,Rp02,321,20.0,12,9,1,0.44022196978098915,128.1933059771443,0.6893828629198817
60,Rp02,499,10.0,13,19,3,0.19044310976442233,110.40495613122425,0.7448827845947309
61,Rp02,426,20.0,15,20,5,0.13935638720573507,111.07823162215209,0.7492903591816955
62,Rp02,500,3.0,13,3,3,0.13745482332222111,112.33854887202855,0.7536348466961164
63,Rp02,500,15.0,15,20,5,0.20894667326747182,113.74888496299891,0.7383371848350827
64,Rp02,500,10.0,13,19,3,0.1837244851491292,117.81222646851775,0.7579842400684866
65,Rp02,155,5.0,17,2,5,0.10931599034439166,114.87021156744876,0.758022714772245
66,Rp02,372,2.0,14,19,sqrt,0.21980545595368495,114.14807108533259,0.722030691842235
67,Rp02,449,,15,4,10,0.01534328768119153,111.01110039422417,0.762052648868274
68,Rp02,48,,13,12,10,0.0863236047844436,121.62470854903736,0.7249487884153392
69,Rp02,500,4.0,12,5,,0.01,117.09943321299743,0.7349349668098023
70,Rp02,500,,9,6,10,0.3613227854951962,112.02322721244158,0.6997744875922154
71,Rp02,500,,15,16,5,0.41487003552155716,107.3133460025196,0.7691972152732803
72,Rp02,500,,16,13,3,0.4713501164040697,120.45866618179977,0.7171642331817721
73,Rp02,500,5.0,19,13,5,0.5005459889586936,115.21569636553298,0.7275277936448425
74,Rp02,500,4.0,8,12,5,0.01,125.97590056641498,0.6913322522713736
75,Rp02,500,2.0,18,5,5,0.17311773359248553,116.14773884563674,0.71021153487464
76,Rp02,500,20.0,19,13,5,0.07720648583628413,110.2590198429152,0.738781774268138
77,Rp02,500,10.0,20,17,sqrt,0.01,129.0421772358973,0.6812564438908362
78,Rp02,500,2.0,14,20,5,0.39375728044500796,120.82956275266974,0.7285451304280903
79,Rp02,300,3.0,20,2,10,0.36098912996183935,111.36158271286482,0.7385857710978324
80,Rp02,26,2.0,16,8,10,0.47303031143263774,133.65948274200667,0.6667875641180031
81,Rp02,293,2.0,13,6,10,0.22411539740580222,116.96307479889836,0.7112324698931114
82,Rp02,500,15.0,20,9,10,0.2990822869396247,117.10988128677157,0.7313281026932927
83,Rp02,341,15.0,20,17,10,0.01,125.59772714937291,0.6960312298133391
84,Rp02,500,20.0,20,1,1,0.10241184747113799,121.33242806780545,0.7292020053583005
85,Rp02,500,,15,9,3,0.41484361786456386,127.16472721449937,0.7017999436445941
86,Rp02,500,3.0,4,13,10,0.30390677236971636,110.6329217828755,0.7606955297487603
87,Rp02,319,,2,8,log2,0.2857017398775373,118.31984598491745,0.7340797675190225
88,Rp02,10,2.0,15,1,sqrt,0.20285437329595138,156.81741543251982,0.4723791891869612
89,Rp02,403,10.0,3,3,sqrt,0.3272978810366791,124.15276969226397,0.7067289389842611
90,Rp02,472,20.0,8,7,10,0.32423903572784973,126.32568427000429,0.7387382369866526
91,Rp02,439,,18,3,sqrt,0.43587348709745777,117.44475730041327,0.6986876865505176
92,Rp02,258,20.0,19,2,sqrt,0.15056500298360329,112.67586051985684,0.7492674108299566
93,Rp02,211,,2,1,10,0.01,120.74782761113893,0.7200970704927457
94,Rp02,220,,20,20,sqrt,0.01,151.57833190011397,0.5462489465863671
95,Rp02,145,20.0,6,13,5,0.6661950052688105,115.7593013110936,0.6873578076363223
96,Rp02,50,3.0,19,1,,0.013641054770236272,168.3186890945156,0.4536702822370471
97,Rp02,475,,2,8,10,0.6991048709676635,133.74148279314528,0.7189304726201006
98,Rp02,500,4.0,17,16,5,0.41645415537214775,112.55997800561713,0.7332872105604269
99,Rp02,399,5.0,16,15,10,0.17898645046587944,109.14927390467605,0.7608219065896077
100,A5,300,15.0,17,17,3,0.27522337803196295,1.9884674928692818,0.6680306797838766
101,A5,156,,7,10,5,0.3411842489387896,2.1330433274120493,0.6302442821597619
102,A5,202,15.0,8,13,,0.6704370596776021,2.250212388623113,0.5885171293528053
103,A5,79,15.0,11,16,1,0.47842687578208265,2.140170776959711,0.6255368132266694
104,A5,363,5.0,12,15,log2,0.3367842893491937,2.039356336128996,0.6731730094945405
105,A5,101,10.0,6,4,,0.11327565835674139,2.138386988017283,0.6304917286600973
106,A5,119,4.0,18,10,3,0.6326205223900493,2.1740296438180478,0.5893705916202443
107,A5,59,20.0,14,4,,0.5279734374407349,2.3404497016040393,0.5583295628360867
108,A5,308,3.0,3,13,10,0.4604253187337887,2.091338083266087,0.6384075420755242
109,A5,321,20.0,12,9,1,0.44022196978098915,2.1375074213054797,0.642158484722295
110,A5,500,20.0,4,20,10,0.01,2.043271953744806,0.6618477579734947
111,A5,328,15.0,20,19,10,0.23414745600856063,2.0484854238312744,0.6459765523498185
112,A5,378,15.0,17,19,3,0.21171905806661287,2.0033720069297436,0.6685104083705007
113,A5,395,2.0,18,14,,0.03445975855539863,2.0439313288598733,0.6594106112916669
114,A5,299,20.0,2,20,sqrt,0.01,2.268097764967247,0.584479657762291
115,A5,500,3.0,14,16,3,0.3045115706767587,1.9868413723551472,0.652846278992094
116,A5,407,10.0,17,17,1,0.3054639474992481,2.02293621555118,0.6800924494714018
117,A5,314,20.0,12,16,10,0.01,2.1227510890499994,0.6318942690193625
118,A5,500,,19,14,1,0.21464757387356856,1.9793355575826628,0.6866495317058803
119,A5,500,,8,16,3,0.22444694818482086,2.064214237512145,0.6506614794383967
120,A5,500,,20,20,10,0.5784274220312736,2.2406728733487973,0.5525872566887242
121,A5,305,20.0,16,15,3,0.23780630702286626,2.018679858903094,0.6561531299641887
122,A5,500,,20,15,,0.23660581802516473,2.1854276146830394,0.614412915146117
123,A5,197,4.0,20,20,1,0.13902457771042584,2.081753962679789,0.65812654472584
124,A5,426,5.0,20,1,1,0.23097648672394985,2.044134400469634,0.6720675499132294
125,A5,427,5.0,18,20,3,0.2777322743074711,2.0346491430474867,0.6628129539721352
126,A5,463,,15,12,1,0.24970355754946738,2.032986623385775,0.6672791514671237
127,A5,500,4.0,2,19,10,0.2189697774573556,2.046963989177469,0.6429545881852845
128,A5,10,15.0,13,8,3,0.293088894595656,2.1697343491980092,0.605523786124524
129,A5,145,,15,14,1,0.1534906182995756,2.0590832293741395,0.6591839219667645
130,A5,500,2.0,20,13,1,0.24538066889765614,2.068589015058688,0.6543301163233894
131,A5,68,4.0,8,13,log2,0.6509372542252411,2.0304726325800972,0.63266579955902
132,A5,500,,7,20,1,0.062420406680933974,2.0590595705579275,0.6458997650952819
133,A5,455,15.0,16,11,log2,0.6400194114559371,2.361940645116806,0.5218151722794062
134,A5,500,4.0,20,3,10,0.0643048881887624,1.9401926987376767,0.6896553323408219
135,A5,500,,20,1,10,0.031829378784985166,1.9685563103944381,0.6799163712638279
136,A5,500,3.0,2,1,10,0.08972163112853862,1.9730138771435815,0.6805243523253885
137,A5,500,20.0,20,1,10,0.01,1.9570313331469051,0.6831579180282077
138,A5,500,,20,5,10,0.01,1.9638519097622602,0.6881829386974143
139,A5,10,,2,20,10,0.7,2.154593279426862,0.6294017703120272
140,A5,500,2.0,20,6,10,0.08296894477497947,2.014222893057358,0.682109965615116
141,A5,500,,2,1,sqrt,0.01,2.0185217453404505,0.6681595029505636
142,A5,430,,20,1,10,0.01,1.9657271794479336,0.6813512855419782
143,A5,401,20.0,20,1,10,0.08570571914850804,2.047094757821421,0.6677396829616676
144,A5,500,20.0,2,1,10,0.01,2.1271233809183494,0.6159990452100801
145,A5,500,3.0,20,1,10,0.01,2.107432694835347,0.6416881476929992
146,A5,500,,20,1,sqrt,0.10778960181312114,1.9878254910110933,0.6664578745458745
147,A5,500,20.0,2,1,5,0.3131447725496579,2.1298662098330494,0.5785980279353806
148,A5,500,,20,1,1,0.12192770450071909,2.0635815284965595,0.6812447956073927
149,A5,10,3.0,20,1,1,0.01,3.4738442428098217,0.028281811300857718
150,HB,300,15.0,17,17,3,0.27522337803196295,32.2789864974888,0.8224419197365087
151,HB,156,,7,10,5,0.3411842489387896,31.000380207327396,0.8176565157465978
152,HB,202,15.0,8,13,,0.6704370596776021,35.904161373122655,0.7714793836657539
153,HB,79,15.0,11,16,1,0.47842687578208265,38.58577840780823,0.7240099120145782
154,HB,363,5.0,12,15,log2,0.3367842893491937,32.46507517009134,0.8204348585467762
155,HB,101,10.0,6,4,,0.11327565835674139,35.741649194346415,0.77390091229698
156,HB,119,4.0,18,10,3,0.6326205223900493,34.91737793946925,0.8113031848434479
157,HB,59,20.0,14,4,,0.5279734374407349,34.47375175552545,0.7856247713023903
158,HB,308,3.0,3,13,10,0.4604253187337887,31.68773318148842,0.8209670015598131
159,HB,321,20.0,12,9,1,0.44022196978098915,34.399970020142504,0.7544882616762192
160,HB,235,,18,19,log2,0.035564368803128577,37.04857873096387,0.7619917779531744
161,HB,159,,7,10,5,0.34750368080117783,32.190398987546175,0.8229252196802711
162,HB,220,,7,11,5,0.4199663535564347,32.83947653928361,0.806695679742069
